testName,email,password,billing_address,billing_city,billing_country,billing_state,billing_postcode,payment_method,payment_account_name,payment_account_number,quantity,expectedStatusCode,override_product_id
"Success - Customer 2 - Case 1",customer2@practicesoftwaretesting.com,welcome01,"375 Crowley Center",Miami,United States,Florida,33180,"Bank Transfer",Emelda Ambrodi,3529278133506244,4,201,
"Success - Customer 2 - Case 2",customer2@practicesoftwaretesting.com,welcome01,"35682 Hudson Road",Austin,United States,Texas,78778,"Bank Transfer",Adham Matyushenko,5602243146198798643,10,201,
"Success - Customer 2 - Case 3",customer2@practicesoftwaretesting.com,welcome01,"622 Packers Drive",Levittown,United States,Pennsylvania,19058,"Buy Now Pay Later",Lindy Collumbine,5007664298374740,10,201,
"Success - Customer 1 - Case 1",customer@practicesoftwaretesting.com,welcome01,"59126 Havey Trail",Memphis,United States,Tennessee,38161,"Gift Card",Tedie Dieton,3554117863264772,6,201,
"Success - Customer 2 - Case 4",customer2@practicesoftwaretesting.com,welcome01,"5 Nancy Place",Birmingham,United States,Alabama,35215,"Cash on Delivery",Erskine Airdrie,3556876721530108,3,201,
"Success - Customer 2 - Case 5",customer2@practicesoftwaretesting.com,welcome01,"2 Nancy Street",Kalamazoo,United States,Michigan,49048,"Cash on Delivery",Rebecka Meininger,6334188318228117252,10,201,
"Success - Customer 2 - Case 6",customer2@practicesoftwaretesting.com,welcome01,"9983 Texas Road",Atlanta,United States,Georgia,30380,"Buy Now Pay Later",Cristobal Benedettini,3564207009987481,5,201,
"Success - Customer 2 - Case 7",customer2@practicesoftwaretesting.com,welcome01,"26 Independence Way",Washington,United States,District of Columbia,20508,"Gift Card",Bartholomeus Skettles,3582832856657453,7,201,
"Success - Customer 1 - Case 2",customer@practicesoftwaretesting.com,welcome01,"234 Sutteridge Drive",Staten Island,United States,New York,10305,"Buy Now Pay Later",Allistir Jaumet,060455432711966290,7,201,
"Success - Customer 2 - Case 8",customer2@practicesoftwaretesting.com,welcome01,"6721 Talisman Road",Des Moines,United States,Iowa,50310,"Cash on Delivery",Spike Cornillot,3534758764331494,1,201,
"Fail - Invalid Login",invalid@user.com,badpassword,"123 Fake St",Nowhere,USA,NA,00000,"Bank Transfer",John Doe,12345,1,401,
"Fail - Missing Billing Address",customer@practicesoftwaretesting.com,welcome01,"",Miami,United States,Florida,33180,"Bank Transfer",Jane Doe,54321,2,422,
"Fail - Missing Payment Method",customer@practicesoftwaretesting.com,welcome01,"123 Bill St",Miami,United States,Florida,33180,"",Jane Doe,54321,3,422,
"Fail - Negative Quantity",customer@practicesoftwaretesting.com,welcome01,"123 Bill St",Miami,United States,Florida,33180,"Bank Transfer",Jane Doe,54321,-5,422,
"Fail - Zero Quantity",customer@practicesoftwaretesting.com,welcome01,"123 Bill St",Miami,United States,Florida,33180,"Bank Transfer",Jane Doe,54321,0,422,
"Fail - Unauthenticated Request",,,123 Main St,Anytown,USA,CA,12345,"Bank Transfer",No Body,123,1,401,
"Fail - Invalid Data Type for Total",customer@practicesoftwaretesting.com,welcome01,"123 Bill St",Miami,United States,Florida,33180,"Bank Transfer",Jane Doe,54321,abc,422,
"Fail - Non-Existent Product ID",customer@practicesoftwaretesting.com,welcome01,"123 Bill St",Miami,United States,Florida,33180,"Bank Transfer",Jane Doe,54321,1,404,99999
